SKU,Launch Year,SKUs Recently Added,CategoryID,ProductID,RootModelNumber,Category,Product,Configuration,CurrentMinRetailerPrice,CurrentAvgRetailerPrice,CurrentMaxRetailerPrice,Online Price Quartile,Retailer Price Quartile,Online Price Range,Brand,Series,Standard Color,Capacity Range,Width (Approx.),Built-in Water Heater,Energy Rating,Motor Speeds,Stackable,Steam Cycle,Maximum RPM,CEE Tier,Wash Basket Material,Number Wash Cycles,Derivative Model,Model Status,Wifi Connected,Capacity (cu ft),ADA Compliant,Cold Optimized,Agitator or Impeller,Commercial (Yes/No),Detergent Dispenser,Fabric Softener Dispenser,Bleach Dispenser,POD Dispenser,Auto Dose Dispenser,Description,Key Feature,Key Feature1,Key Feature2,Key Feature3,Key Feature4,Key Feature5,Additional Features1,Additional Features2,Additional Features3,Additional Features4,Additional Features5,Additional Features6,Additional Features7,Additional Features8,Additional Features9,Additional Features10,Additional Features11,Additional Features12,Additional Features13,Additional Features14,Additional Features15,Color Description,Width,Height,Depth,Additional Dimensions1,Additional Dimensions2,Additional Dimensions3,Appearance1,Appearance2,Appearance3,Appearance4,Appearance5,Appearance6,Appearance7,Appearance8,Appearance9,Appearance10,Appearance11,Capacity1,Capacity2,Controls1,Controls2,Controls3,Controls4,Controls5,Controls6,Controls7,Controls8,Controls9,Controls10,Convenience Features1,Convenience Features2,Convenience Features3,Convenience Features4,Convenience Features5,Convenience Features6,Convenience Features7,Convenience Features8,Convenience Features9,Convenience Features10,Convenience Features11,Convenience Features12,Convenience Features13,Convenience Features14,Convenience Features15,Convenience Features16,Convenience Features17,Dimensions1,Dimensions2,Energy/Sound/Power1,Energy/Sound/Power2,Energy/Sound/Power3,Energy/Sound/Power4,Energy/Sound/Power5,Energy/Sound/Power6,Energy/Sound/Power7,Energy/Sound/Power8,Wash Cycles1,Wash Cycles2,Wash Cycles3,Wash Cycles4,Wash Cycles5,Wash Cycles6,Wash Cycles7,Wash Cycles8,Wash Cycles9,Wash Cycles10,Wash Cycles11,Wash Cycles12,Wash Cycles13,Wash Cycles14,Wash Cycles15,Wash Cycles16,Wash Cycles17,Wash Cycles18,Wash Cycles19,Wash Cycles20,Wash Cycles21,Wash Cycles22,Wash Cycles23,Wash Cycles24,Wash Cycles25,Wash Cycles26,Wash Cycles27,Wash Cycles28,Wash Cycles29,Wash Cycles30,Wash Cycles31,Wash Cycles32,Wash Cycles33,Wash Cycles34,Wash Cycles35,Wash Cycles36,Wash Cycles37,Wash Cycles38,Wash Cycles39,Wash Cycles40,Wash Cycles41,Washing System1,Washing System2,Washing System3,Washing System4,Washing System5,Washing System6,Washing System7,Washing System8,Washing System9,Washing System10,Washing System11,Washing System12,Washing System13,Washing System14,Washing System15,Washing System16
dvg55cg7500e,2024,5/2/2024,1,5,,Laundry,Dryers,Match Top Load Washer,898,924,998,High/Mid - 50% to 75%,,,Samsung,,Gas,White,7.0 to 7.9 cu ft,27,Energy Star®,No,Yes,Vent,,Active Model,Yes,No,7.4,Unassigned,7.4 Cu. Ft. Smart Gas Dryer with Steam and Sensor Dry - Ivory,,12 Preset Drying Cycle & 10 Options,Steam Sanitize+ Cycle,Smart Care,Sensor Dry Technology,Wi-Fi Connectivity,Vent Blockage Test,,,,,,,,,,,,,,,,,,,Ivory,,,,,,,Reversible Door,,,,,,,,,,,7.4 Cu Ft Capacity,,Child Lock,,,,,,,,,,,Drum Light,,,,,,,,,,,,,,,,,,,,"45 13/16"" H x 30 1/4"" D x 27"" W",,12 Dry Cycles with 10 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Dry Levels,,,,,,,,,,"120V, 60 Hz, 15 Amps",,,,,,,,,,,,,,,,,,,,,,,,
etd48gaswwb,2024,7/7/2024,1,5,,Laundry,Dryers,Match Top Load Washer,678,734,899,Low/Mid - 25% to 50%,,,GE,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,Unassigned,No,Vent,,Active Model,No,No,7.2,Unassigned,7.2 cu. ft. Capacity Gas Dryer with Spanish Language Control Pan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffrg4120sw,2017,4/26/2017,1,5,FFRG4120S,Laundry,Dryers,Match Top Load Washer,852,873,949,High/Mid - 50% to 75%,Low - 25% & Below,596,Frigidaire,,Gas,White,6.0 to 6.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,6.7,No,6.7 cu ft Gas Dryer,,10 Dry Cycles,5 Dryness Levels,Wrinkle Release Option,,,Hidden Closet,,,,,,,,,,,,,,,,,,,White,27 inches,42 14/16 inches,30 inches,,,,,Front Load Console,Pull-to-Open Door Style,Reversible Door,Stainless Steel Drum,White Cabinet and Console,,,,,,6.7 Cu Ft Capacity,,,Front Console Controls,Knob Button Switch,,,,,,,,,4 Leveling Legs,Chime On/Off Cycle Signal,Cycle Signal Lights,,Delay Start Option,,,,,,,,,,,,,,,,"42 14/16"" H x 30"" D x 27"" W",,,5 Dryness Level Selections,Air Fluff (No Heat) Option,Bulky Cycle,Casual Cycle,Delicate Cycle,Heavy Cycle,"Low, Medium & High Options",Normal Cycle,Quick Dry Cycle,Sanitize Cycle,Time Dry Cycle,Towel Cycle,Wrinkle Release Option,,,,,,,,,,,,,,,,,,,,Moisture Sensor,,,,,,,,,,,Gas Dryer,,,,,,,,,,,,,,,,,,,,,,,
gtd38gaswws,2024,3/9/2024,1,5,,Laundry,Dryers,Match Top Load Washer,634,638,640,Low - 25% & Below,,,GE,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,,Active Model,No,No,7.2,Unassigned,7.2 cu. ft. Capacity Gas Dryer with Up To 120 ft. Venting and Re,,4 Dry Cycles with 3 Temperatures,Auto Dry Heat System,Delicates Cycle,Removable Upfront Lint Filter,Reverse-A-Door,3-Way Venting Options,,,,,,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Reverse-A-Door,,,,,,,,,,,7.2 Cu Ft Capacity,,Electromechanical Controls,,,,,,,,,,,Fixed End-Of-Cycle Signal,,,,,,,,,,,,,,,,,,,,"44"" H x 29 1/2"" D x 27"" W",,4 Dry Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Heat Selections,,,,,,,,,,"22,000 BTU",,,,,,,,,,,,,,,,,,,,,,,,
gtd42gasjww,2015,8/3/2015,1,5,GTD42GASJ,Laundry,Dryers,Match Top Load Washer,600,739,879,Low/Mid - 25% to 50%,Low - 25% & Below,633,GE,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,7.2,No,7.2 cu ft Gas Dryer,,,Reverse-A-Door,Wrinkle Care Extended Tumble Option,Interior Light,,120 Foot Long Vent Capability,,,,,,,,,,,,,,,,,,,White on White,27 inches,42 1/2 inches,29 1/2 inches,"27"" Minimum Space",,,Aluminized Alloy Drum,,White on White Color,,,,,,,,,7.2 Cu. Ft.,,Electromechanical Controls,,,,,,,,,,,,Front Serviceable,Interior Light,Removable Upfront Lint Filter,,,,,,,,,,,,,,,,,"42 1/2"" H x 29 1/2"" D x 27"" W",,4 Drying Cycles,,Casuals Cycle,Cool Down Cycle,Cottons / Towels Cycle,Cottons/ Towels Cycle,Extended Tumble,More Dry / Dry / Less Dry Options,Quick Fluff Option,Timed Dry - 80 Minutes,Wrinkle Care Cycle,,,,,,,,,,,,,,,,,,,,,,,Auto Dry Heat System,,,,,,,,,,,Gas Dryer,LP Conversion Kit-WE25X0217,Quiet-By-Design™ Sound Insulation,,,,,,,,,,,,,,,,,,,,,
gtd45gasjws,2015,8/3/2015,1,5,GTD45GASJ,Laundry,Dryers,Match Top Load Washer,640,811,899,Low/Mid - 25% to 50%,Low - 25% & Below,628,GE,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,7.2,No,7.2 cu ft Gas Dryer,,,Reverse-A-Door,Wrinkle Care Extended Tumble Option,Interior Light,,120 Foot Long Vent Capability,,,,,,,,,,,,,,,,,,,White,27 inches,42 1/2 inches,29 1/2 inches,"27"" Minimum Space",,,Aluminized Alloy Drum,,White on White w/ Silver Backsplash,,,,,,,,,7.2 Cu. Ft.,,Electromechanical Controls,,,,,,,,,,,,Front Serviceable,Interior Light,Removable Upfront Lint Filter,,,,,,,,,,,,,,,,,"42 1/2"" H x 29 1/2"" D x 27"" W",,4 Drying Cycles,,Casuals Cycle,Cottons Cycle,Delicates Cycle,Dewrinkle,Easy Care Cycle,Extended Tumble,Quick Fluff Option,Timed Dry Cycle - Heavy Duty (80 Mins),Wrinkle Care Cycle,,,,,,,,,,,,,,,,,,,,,,,,HE SensorDry™ Moisture Sensor,,,,,,,,,,Gas Dryer,LP Conversion Kit-WE25X0217,Quiet-By-Design™ Sound Insulation,,,,,,,,,,,,,,,,,,,,,
gtd48gaswwb,2024,3/9/2024,1,5,,Laundry,Dryers,Match Top Load Washer,677,678,680,Low - 25% & Below,,,GE,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,,Active Model,No,No,7.2,Unassigned,7.2-cu ft Reversible Side Swing Door Gas Dryer (White),,4 Dry Cycles with 4 Temperatures,Auto Dry,Delicates Cycle,Reverse-A-Door,Interior Lighting,3-Way Venting Options,,,,,,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Reverse-A-Door,,,,,,,,,,,7.2 Cu Ft Capacity,,Electromechanical Controls,,,,,,,,,,,Adjustable End-Of-Cycle Signal,,,,,,,,,,,,,,,,,,,,"44"" H x 29 1/2"" D x 27"" W",,4 Dry Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Heat Selections,,,,,,,,,,"22,000 BTU Natural Gas",,,,,,,,,,,,,,,,,,,,,,,,
gtd58gbsvws,2023,3/28/2023,1,5,,Laundry,Dryers,Match Top Load Washer,698,730,854,Low/Mid - 25% to 50%,,,GE,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,,Active Model,No,No,7.4,Unassigned,7.4 cu. ft. Top Load Gas Dryer with Sensor Dry - White on White,,12 Dry Cycles with 4 Heat Settings,Sensor Dry System,Eco Dry,My Cycle Settings,,120 Ft Long Vent Capability,,,,,,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,White Finish,,,,,,,,,,,7.4 Cu Ft Capacity,,LED Cycle Countdown,,,,,,,,,,,Damp Dry Signal,,,,,,,,,,,,,,,,,,,,"46"" H x 30 1/2"" D x 27"" W",,Cottons Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dual Thermistors,,,,,,,,,,Gas Dryer,,,,,,,,,,,,,,,,,,,,,,,,
gtx33gaskww,2016,5/12/2016,1,5,GTX33GASK,Laundry,Dryers,Match Top Load Washer,594,605,649,Low - 25% & Below,Low - 25% & Below,624,GE,,Gas,White,6.0 to 6.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,6.2,No,6.2 cu ft Gas Dryer,,3 Dry Cycles with 3 Temperatures,,Removable Upfront Lint Filter,Quick Fluff Option,,120 Foot Long Vent Capability,,,,,,,,,,,,,,,,,,,White on White,27 inches,44 inches,26 3/4 inches,"27"" Minimum Space",,,Aluminized Alloy Drum,,White on White Color,,,,,,,,,6.2 Cu. Ft.,,,,,,,,,,,,,,On/ Off End-of-Cycle Signal,Removable Upfront Lint Filter,,,,,,,,,,,,,,,,,,"44"" H x 26 3/4"" D x 27"" W",,,3 Heat Selections,"Cottons Cycle-More, Optimum, Less Dry",Easy Care - Casuals,"Easy Care - More, Less Dry, Cool Down",Quick Fluff Option,Timed Dry - 80 Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,Auto Dry Heat System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
htx24gaskws,2016,11/1/2016,1,5,HTX24GASK,Laundry,Dryers,Match Top Load Washer,679,679,679,Low - 25% & Below,Low - 25% & Below,550,Hotpoint,,Gas,White,6.0 to 6.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,6.2,No,6.2 cu ft Gas Dryer,,,80 Minute Timed Dry Option,Aluminized Alloy Drum,Automatic Dry w/ Delicate Cycle,,,Front Serviceable,,,,,,,,,,,,,,,,,,White,27 inches,44 inches,26 3/4 inches,"27"" Minimum Width",,,Aluminized Alloy Drum,,Rear Controls,Reverse-A-Door,White with Gray Backsplash,,,,,,,6.2 Cu Ft Capacity,,Rotary Electromechanical Controls,,,,,,,,,,,,Removable Up-Front Lint Filter,,,,,,,,,,,,,,,,,,,"44"" H x 26 3/4"" D x 27"" W",,,4 Dry Cycles,Automatic Dry Cycle,Casuals Cycle,Cottons Cycle,Delicates Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Automatic Dry System,,,,,,,,,,Gas Dryer,,,,,,,,,,,,,,,,,,,,,,,
htx26gaswww,2024,3/9/2024,1,5,,Laundry,Dryers,Match Top Load Washer,578,579,580,Low - 25% & Below,,,Hotpoint,,Gas,White,6.0 to 6.9 cu ft,27,Unassigned,No,No,Vent,,Active Model,No,No,6.2,Unassigned,6.2-cu ft Reversible Side Swing Door Gas Dryer (White),,3 Dry Cycles with 3 Heat Selections,80 Minute Timed Dry Option,Shallow Depth Design,Removable Up-Front Lint Filter,Reverse-A-Door,3-Way Venting Options,,,,,,,,,,,,,,,,,,,White,,,,"27"" Minimum Opening (Width)",,,Reverse-A-Door,,,,,,,,,,,6.2 Cu Ft Capacity,,Rotary Electromechanical Controls,,,,,,,,,,,End-Of-Cycle Signal,,,,,,,,,,,,,,,,,,,,"44"" H x 26 3/4"" D x 27"" W",,3 Dry Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Heat Selections,,,,,,,,,,"22,000 BTU",,,,,,,,,,,,,,,,,,,,,,,,
mgd4500mw,2022,8/9/2022,1,5,,Laundry,Dryers,Match Top Load Washer,678,684,698,Low - 25% & Below,,,Maytag,,Gas,White,7.0 to 7.9 cu ft,29,Unassigned,No,No,Vent,,Active Model,Unassigned,No,7,Unassigned,7.0 cu ft Gas Dryer,,7 Dry Cycles w/ 3 Drying Options,4 Drying Temperatures,Wrinkle Prevent Cycle,Automatic Temperature Controls,,Power Cord Included,,,,,,,,,,,,,,,,,,,White on White,,,,,,,Top Load Design,,,,,,,,,,,7.0 Cu Ft Capacity,,Rear Control Panel,,,,,,,,,,,Top Lint Screen,,,,,,,,,,,,,,,,,,,,"43"" H x 28 1/4"" D x 29"" W",,7 Dry Cycles with 3 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Temperature Selections,,,,,,,,,,LP Convertible,,,,,,,,,,,,,,,,,,,,,,,,
mgd5030mw,2022,9/14/2022,1,5,,Laundry,Dryers,Match Top Load Washer,698,785,949,Low/Mid - 25% to 50%,,,Maytag,,Gas,White,7.0 to 7.9 cu ft,29,Unassigned,No,No,Vent,,Active Model,Unassigned,No,7,Unassigned,7.0 cu ft Vented Gas Dryer in White,,9 Dry Cycles w/ 3 Drying Options,4 Drying Temperatures,Extra Power,,Moisture Sensing,Power Cord Included,,,,,,,,,,,,,,,,,,,White on White,,,,"29"" Minimum Opening (Width)",,,Top Load Design,,,,,,,,,,,7.0 Cu Ft Capacity,,Rear Control Panel,,,,,,,,,,,Top Lint Screen,,,,,,,,,,,,,,,,,,,,"43"" H x 28 1/4"" D x 29"" W",,9 Dry Cycles with 3 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Temperature Selections,,,,,,,,,,Gas Dryer,,,,,,,,,,,,,,,,,,,,,,,,
mgd5430mw,2022,9/14/2022,1,5,,Laundry,Dryers,Match Top Load Washer,798,879,999,High/Mid - 50% to 75%,,,Maytag,,Gas,White,7.0 to 7.9 cu ft,29,Unassigned,No,Yes,Vent,,Active Model,Unassigned,No,7,Unassigned,7.0 cu ft Vented Gas Dryer in White,,10 Dry Cycles w/ 3 Drying Options,4 Drying Temperatures,Steam Assisted Drying,,Moisture Sensing,LP Conversion Kit Included,,,,,,,,,,,,,,,,,,,White on White,,,,"29"" Minimum Opening (Width)",,,Top Load Design,,,,,,,,,,,7.0 Cu Ft Capacity,,Rear Control Panel,,,,,,,,,,,Top Lint Screen,,,,,,,,,,,,,,,,,,,,"43"" H x 28 1/4"" D x 29"" W",,10 Dry Cycles with 4 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Temperature Selections,,,,,,,,,,Gas Dryer,,,,,,,,,,,,,,,,,,,,,,,,
mgd6230hw,2020,2/25/2020,1,5,MGD6230H,Laundry,Dryers,Match Top Load Washer,848,886,1149,High/Mid - 50% to 75%,,,Maytag,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,Yes,No,7.4,No,7.4 cu ft Smart Gas Dryer,,Smart Capable with WiFi,Extra Power Button,Quick Dry Cycle,,,American Pride Designation,,,,,,,,,,,,,,,,,,,White on White,27 inches,41 1/4 inches,29 7/8 inches,,,,,Heavy Duty Hinges,Powder Coat Drum,White Finish,,,,,,,,7.4 Cu Ft Capacity,,,Extra Power Button,Rear Console Controls,,,,,,,,,,Hamper Door,Incandescent Interior Light,Lint Filter Indicator,Maytag™ App,Smart Capable,Works with WiFi,,,,,,,,,,,,,,"41 1/4"" H x 29 7/8"" D x 27"" W",,,3 Dryness Levels,4 Dryness Options,5 Temperature Settings,Automatic Dry Control,Bulky Items Cycle,Custom Cycle,Delicates Cycle,Heavy Duty Cycle,Normal Cycle,Quick Dry Cycle,Regular Cycle,Timed Dry Cycle,Towels Cycle,Whites Cycle,Wrinkle Control Cycle,Wrinkle Prevent Option,,,,,,,,,,,,,,,,,Advanced Moisture Sensing,,,,,,,,,,"120V, 60Hz","20,000 BTU Heating Burner",,LP Convertible,,,,,,,,,,,,,,,,,,,,,
mgd6500mbk,2022,8/17/2022,1,5,,Laundry,Dryers,Match Top Load Washer,879,1039,1399,High - 75% & Above,,,Maytag,,Gas,Black,7.0 to 7.9 cu ft,30,Unassigned,No,No,Vent,,Active Model,Unassigned,No,7,Unassigned,Pet Pro 7 cu ft Steam Cycle Gas Dryer,,Steam-Enhanced Dryer,Pet Pro Option,XL Lint Trap,Moisture Sensing,,LP Conversion Kit Included,,,,,,,,,,,,,,,,,,,Black on Black,,,,,,,Side Swing Door,,,,,,,,,,,7.0 Cu Ft Capacity,,Automatic Temperature Controls,,,,,,,,,,,Interior Light,,,,,,,,,,,,,,,,,,,,"40 11/16"" H x 28 3/8"" D x 29"" W",,12 Dry Cycles with 4 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Dryness Options,,,,,,,,,,"240V, 60 Hz, 30 Amps",,,,,,,,,,,,,,,,,,,,,,,,
mgd6500mw,2022,8/17/2022,1,5,,Laundry,Dryers,Match Top Load Washer,948,999,1299,High/Mid - 50% to 75%,,,Maytag,,Gas,White,7.0 to 7.9 cu ft,29,Unassigned,No,No,Vent,,Active Model,Unassigned,No,7,Unassigned,Pet Pro 7 cu ft Steam Cycle Gas Dryer,,Steam-Enhanced Dryer,Pet Pro Option,XL Lint Trap,Moisture Sensing,,LP Conversion Kit Included,,,,,,,,,,,,,,,,,,,White on White,,,,,,,Side Swing Door,,,,,,,,,,,7.0 Cu Ft Capacity,,Automatic Temperature Controls,,,,,,,,,,,Interior Light,,,,,,,,,,,,,,,,,,,,"40 11/16"" H x 28 3/8"" D x 29"" W",,12 Dry Cycles with 4 Options,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Dryness Options,,,,,,,,,,"240V, 60 Hz, 30 Amps",,,,,,,,,,,,,,,,,,,,,,,,
mgd7230hw,2020,2/13/2020,1,5,MGD7230H,Laundry,Dryers,Match Top Load Washer,899,980,1249,High/Mid - 50% to 75%,,,Maytag,,Gas,White,7.0 to 7.9 cu ft,27,Energy Star®,No,Yes,Unassigned,No,Active Model,Yes,No,7.4,No,7.4 cu ft Smart Gas Dryer,,Smart Capable with WiFi,,Energy Star®,Steam Enhanced Dryer,,American Pride Designation,,,,,,,,,,,,,,,,,,,White on White,27 inches,43 1/8 inches,29 7/8 inches,,,,,Heavy Duty Hinges,Powder Coat Drum,White Finish,,,,,,,,7.4 Cu Ft Capacity,,,Extra Power Button,Rear Console Controls,,,,,,,,,,Hamper Door,Incandescent Interior Light,Lint Filter Indicator,Maytag™ App,Smart Capable,Works with WiFi,,,,,,,,,,,,,,"43 1/8"" H x 29 7/8"" D x 27"" W",,,3 Dryness Levels,5 Temperature Settings,7 Dryness Options,Automatic Dry Control,Bulky Items Cycle,Custom Cycle,Delicates Cycle,Heavy Duty Cycle,Normal Cycle,Quick Dry Cycle,Regular Cycle,Sanitize Cycle,,Steam-Enhanced Dryer,Timed Dry Cycle,Towels Cycle,Whites Cycle,Wrinkle Control Cycle,Wrinkle Prevent Option with Steam,,,,,,,,,,,,,,Advanced Moisture Sensing,,,,,,,,,,"120V, 60Hz",Energy Star®,,LP Convertible,,,,,,,,,,,,,,,,,,,,,
mlg41n1aww,2020,6/20/2020,1,5,MLG41N1A,Laundry,Dryers,Match Top Load Washer,,,,Retail Price Not Available,,,Midea,,Gas,White,6.0 to 6.9 cu ft,27,Unassigned,No,No,Vent,Yes,Active Model,No,No,6.7,No,6.7 cu ft Gas Dryer,,4 Dryness Levels & 4 Temps,8 Pre-Set Dry Cycles,6.7 cu ft Capacity,,,,Power Cord Included,,,,,,,,,,,,,,,,,,White,27 inches,43 inches,30 1/10 inches,"27"" Minimum Width",,,,Front Load Design,Rear Control Panel,Reversible Door Swing,Stainless Steel Drum Rear,White Finish,,,,,,6.7 Cu Ft Capacity,,,Manual Time Adjust,,,,,,,,,,"3-Way Venting - Rear, Bottom, Left",,End-Of-Cycle Signal,Lint Filter w/ Indicator Light,,,,,,,,,,,,,,,,,"43"" H x 30 1/10"" D x 27"" W",,,Air Fluff Cycle,Bulky Cycle,Casual Cycle,Delicates Cycle,Heavy Duty Cycle,My Cycle Option,Normal Cycle,Quick Dry Cycle,Time Dry Cycle,Wrinkle Care Cycle,,,,,,,,,,,,,,,,,,,,,,,"4 Dryness Levels - Very, More, Normal, Less Dry","4 Temperature Selections - High, Med, Low, No Heat",,,,,,,,,,Gas Dryer,,,,,,,,,,,,,,,,,,,,,,,
mlg45n1bww,2021,5/12/2021,1,5,,Laundry,Dryers,Match Top Load Washer,,,,Retail Price Not Available,,,Midea,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,7.5,No,7.5 cu ft Gas Dryer,,5 Dryness Levels & 5 Temps,,My Cycle,Sensor Dry and Wrinkle Care,,,Power Cord Included,,,,,,,,,,,,,,,,,,White,27 inches,45 15/16 inches,31 1/2 inches,,,,,Reversible Door Swing,Solid Aluminum Door,,,,,,,,,7.5 Cu Ft Capacity,,,LED / White Display,LED Display,Time Remaining Display,,,,,,,,"3-Way Venting - Rear, Bottom, Left",,Damp Dry Signal,Interior Light,Lint Filter w/ Indicator Light,,,,,,,,,,,,,,,,"45.9"" H x 31.5"" D x 27"" W",,12 Dry Cycles with 6 Options,,Baby Care Cycle,Bulky Cycle,Casual Cycle,Delicate Cycle,Eco Dry Option,Heavy Duty Cycle,My Cycle Option,Normal Cycle,Quick Dry Cycle,Sanitize Cycle,Time Adjust Option,Time Dry Cycle,Towel Warmer Cycle,Towels Cycle,Wrinkle Care Cycle,Wrinkle Care Option,,,,,,,,,,,,,,,,,5 Temperature Selections,"5 Time Dry Selections - 60, 50, 40, 30, 20 Minutes",Automatic Temperature Control,Sensor Dry Technology,,,,,,"120/240V, 9.5 Amps",,UL Certified,,,,,,,,,,,,,,,,,,,,,,
mlg45n3bmg,2021,11/5/2021,1,5,MLG45N3B,Laundry,Dryers,Match Top Load Washer,,,,Retail Price Not Available,,,Midea,,Gas,Gray,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,7.5,No,7.5 cu ft Gas Dryer,,12 Wash Cycles with 7 Options,Sensor Dry Technology,Auto-Dry Feature,,,,,Power Cord Included,,,,,,,,,,,,,,,,,Grey,27 inches,45 4/5 inches,31 1/2 inches,"27"" Minimum Width",,,,Front Load Design,Gray Clear Door Cover,Gray Color Finish,Rear Control Panel,Reversible Door Swing,,,,,,7.5 Cu Ft Capacity,,Dial / Touch Control Panel,,LED / White Display,Time Remaining Display,,,,,,,,"3-Way Venting - Rear, Bottom, Left",,Interior Light,Lint Filter w/ Indicator Light,,,,,,,,,,,,,,,,,"45 4/5"" H x 31 1/2"" D x 27"" W",,12 Dry Cycles with 7 Options,Air Fluff Cycle (Manual Dry),Auto-Dry Feature,Baby Care Cycle (Sensor Dry),Bulky Cycle (Sensor Dry),Casual Cycle (Sensor Dry),Damp Dry Signal Option,Delicates Cycle (Sensor Dry),Eco Dry Option,Heavy Duty Cycle(Sensor Dry),,Normal Cycle (Sensor Dry),Quick Dry Cycle (Manual Dry),Sanitize Cycle (Sensor Dry),Time Adjust Option,Time Dry Cycle (Manual Dry),Towel Warmer Cycle (Manual Dry),Towels Cycle (Sensor Dry),Wrinkle Care Option,,,,,,,,,,,,,,,"5 Dryness Levels - Extra, More, Normal, Less, Damp","5 Temp Selections - High, Med, Low, Ultra, No Heat","5 Time Dry Selections - 60, 50, 40, 30, 20 Minutes",,Sensor Dry Technology,,,,,,"120/240V, 9.5 Amps","20,000 BTU",,UL Certified,,,,,,,,,,,,,,,,,,,,,
mlg45n3bww,2021,11/5/2021,1,5,MLG45N3B,Laundry,Dryers,Match Top Load Washer,,,,Retail Price Not Available,,,Midea,,Gas,White,7.0 to 7.9 cu ft,27,Unassigned,No,No,Vent,No,Active Model,No,No,7.5,No,7.5 cu ft Gas Dryer,,12 Wash Cycles with 7 Options,Sensor Dry Technology,Auto-Dry Feature,,,,,Power Cord Included,,,,,,,,,,,,,,,,,White,27 inches,45 4/5 inches,31 1/2 inches,"27"" Minimum Width",,,,Front Load Design,Gray Clear Door Cover,Rear Control Panel,Reversible Door Swing,White Finish,,,,,,7.5 Cu Ft Capacity,,Dial / Touch Control Panel,,LED / White Display,Time Remaining Display,,,,,,,,"3-Way Venting - Rear, Bottom, Left",,Interior Light,Lint Filter w/ Indicator Light,,,,,,,,,,,,,,,,,"45 4/5"" H x 31 1/2"" D x 27"" W",,12 Dry Cycles with 7 Options,Air Fluff Cycle (Manual Dry),Auto-Dry Feature,Baby Care Cycle (Sensor Dry),Bulky Cycle (Sensor Dry),Casual Cycle (Sensor Dry),Damp Dry Signal Option,Delicates Cycle (Sensor Dry),Eco Dry Option,Heavy Duty Cycle(Sensor Dry),,Normal Cycle (Sensor Dry),Quick Dry Cycle (Manual Dry),Sanitize Cycle (Sensor Dry),Time Adjust Option,Time Dry Cycle (Manual Dry),Towel Warmer Cycle (Manual Dry),Towels Cycle (Sensor Dry),Wrinkle Care Option,,,,,,,,,,,,,,,"5 Dryness Levels - Extra, More, Normal, Less, Damp","5 Temp Selections - High, Med, Low, Ultra, No Heat","5 Time Dry Selections - 60, 50, 40, 30, 20 Minutes",,Sensor Dry Technology,,,,,,"120/240V, 9.5 Amps","20,000 BTU",,UL Certified,,,,,,,,,,,,,,,,,,,,,
